"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Johnson County, IA"	"19103"	22	146547	0.15012
	"Lee County, IA"	"19111"	32	34615	0.92445
	"Linn County, IA"	"19113"	115	221661	0.51881
	"Madison County, IA"	"19121"	12	15848	Unreliable
	"Mahaska County, IA"	"19123"	23	22181	1.03692
	"Marion County, IA"	"19125"	17	33189	Unreliable
	"Marshall County, IA"	"19127"	23	40312	0.57055
	"Muscatine County, IA"	"19139"	12	42940	Unreliable
	"O'Brien County, IA"	"19141"	13	14020	Unreliable
	"Plymouth County, IA"	"19149"	18	25200	Unreliable
	"Polk County, IA"	"19153"	161	474045	0.33963
	"Pottawattamie County, IA"	"19155"	45	93582	0.48086
	"Scott County, IA"	"19163"	65	172474	0.37687
	"Shelby County, IA"	"19165"	16	11800	Unreliable
	"Sioux County, IA"	"19167"	18	34898	Unreliable
	"Story County, IA"	"19169"	13	97090	Unreliable
	"Tama County, IA"	"19171"	13	17319	Unreliable
	"Wapello County, IA"	"19179"	30	34982	0.85758
	"Warren County, IA"	"19181"	35	49691	0.70435
	"Webster County, IA"	"19187"	20	36769	0.54394
	"Woodbury County, IA"	"19193"	18	102779	Unreliable
	"Barton County, KS"	"20009"	12	26775	Unreliable
	"Bourbon County, KS"	"20011"	12	14617	Unreliable
	"Butler County, KS"	"20015"	14	67025	Unreliable
	"Cowley County, KS"	"20035"	18	35753	Unreliable
	"Crawford County, KS"	"20037"	34	39164	0.86814
	"Douglas County, KS"	"20045"	28	119440	0.23443
	"Ellis County, KS"	"20051"	13	28893	Unreliable
	"Franklin County, KS"	"20059"	12	25560	Unreliable
	"Harvey County, KS"	"20079"	23	34913	0.65878
	"Jefferson County, KS"	"20087"	12	18897	Unreliable
	"Johnson County, KS"	"20091"	105	584451	0.17966
	"Leavenworth County, KS"	"20103"	22	80204	0.27430
	"Lyon County, KS"	"20111"	15	33510	Unreliable
	"McPherson County, KS"	"20113"	24	28804	0.83322
	"Marion County, KS"	"20115"	12	12112	Unreliable
	"Miami County, KS"	"20121"	15	32964	Unreliable
	"Montgomery County, KS"	"20125"	13	32746	Unreliable
	"Reno County, KS"	"20155"	25	63220	0.39544
	"Riley County, KS"	"20161"	11	73343	Unreliable
	"Saline County, KS"	"20169"	25	55142	0.45337
	"Sedgwick County, KS"	"20173"	105	511995	0.20508
	"Shawnee County, KS"	"20177"	58	178146	0.32558
	"Wyandotte County, KS"	"20209"	28	163831	0.17091
	"Barren County, KY"	"21009"	26	43993	0.59100
	"Boone County, KY"	"21015"	33	128536	0.25674
	"Boyd County, KY"	"21019"	31	48132	0.64406
	"Boyle County, KY"	"21021"	22	30018	0.73289
	"Bullitt County, KY"	"21029"	13	79151	Unreliable
	"Calloway County, KY"	"21035"	10	38437	Unreliable
	"Campbell County, KY"	"21037"	25	92211	0.27112
	"Christian County, KY"	"21047"	22	72351	0.30407
	"Clark County, KY"	"21049"	24	35819	0.67004
	"Daviess County, KY"	"21059"	43	99674	0.43141
	"Fayette County, KY"	"21067"	100	318449	0.31402
	"Floyd County, KY"	"21071"	12	37110	Unreliable
	"Franklin County, KY"	"21073"	18	50560	Unreliable
	"Grant County, KY"	"21081"	11	24923	Unreliable
	"Graves County, KY"	"21083"	33	37182	0.88753
	"Grayson County, KY"	"21085"	13	26184	Unreliable
	"Greenup County, KY"	"21089"	30	35893	0.83582
	"Hardin County, KY"	"21093"	26	107316	0.24228
	"Henderson County, KY"	"21101"	17	46253	Unreliable
	"Hopkins County, KY"	"21107"	21	45904	0.45748
	"Jefferson County, KY"	"21111"	331	765352	0.43248
	"Jessamine County, KY"	"21113"	15	52357	Unreliable
	"Johnson County, KY"	"21115"	10	22978	Unreliable
	"Kenton County, KY"	"21117"	39	164945	0.23644
	"Knott County, KY"	"21119"	13	15544	Unreliable
	"Knox County, KY"	"21121"	11	31687	Unreliable
	"Larue County, KY"	"21123"	14	14096	Unreliable
	"Laurel County, KY"	"21125"	25	60250	0.41494
	"Letcher County, KY"	"21133"	12	22773	Unreliable
	"Lincoln County, KY"	"21137"	19	24372	Unreliable
	"Logan County, KY"	"21141"	10	26593	Unreliable
	"McCracken County, KY"	"21145"	33	65162	0.50643
	"Madison County, KY"	"21151"	40	89547	0.44669
	"Marion County, KY"	"21155"	11	19205	Unreliable
	"Marshall County, KY"	"21157"	16	31365	Unreliable
	"Mason County, KY"	"21161"	11	17190	Unreliable
	"Mercer County, KY"	"21167"	15	21477	Unreliable
	"Muhlenberg County, KY"	"21177"	15	31028	Unreliable
	"Nelson County, KY"	"21179"	17	45559	Unreliable
	"Ohio County, KY"	"21183"	10	24378	Unreliable
	"Oldham County, KY"	"21185"	14	65560	Unreliable
	"Perry County, KY"	"21193"	15	27343	Unreliable
	"Pike County, KY"	"21195"	40	60555	0.66056
	"Pulaski County, KY"	"21199"	23	63956	0.35962
	"Rowan County, KY"	"21205"	14	24451	Unreliable
	"Scott County, KY"	"21209"	16	53972	Unreliable
	"Shelby County, KY"	"21211"	12	46408	Unreliable
	"Taylor County, KY"	"21217"	12	25397	Unreliable
	"Warren County, KY"	"21227"	53	125532	0.42220
	"Acadia Parish, LA"	"22001"	50	62645	0.79815
	"Allen Parish, LA"	"22003"	10	25684	Unreliable
	"Ascension Parish, LA"	"22005"	36	121587	0.29608
	"Avoyelles Parish, LA"	"22009"	33	41117	0.80259
	"Beauregard Parish, LA"	"22011"	13	36927	Unreliable
	"Bienville Parish, LA"	"22013"	12	13865	Unreliable
	"Bossier Parish, LA"	"22015"	66	126057	0.52357
	"Caddo Parish, LA"	"22017"	185	248851	0.74342
	"Calcasieu Parish, LA"	"22019"	67	200601	0.33400
	"Claiborne Parish, LA"	"22027"	10	16132	Unreliable
	"Concordia Parish, LA"	"22029"	16	19920	Unreliable
	"De Soto Parish, LA"	"22031"	19	27149	Unreliable
	"East Baton Rouge Parish, LA"	"22033"	262	447037	0.58608
	"Evangeline Parish, LA"	"22039"	14	33709	Unreliable
	"Grant Parish, LA"	"22043"	13	22365	Unreliable
	"Iberia Parish, LA"	"22045"	53	73273	0.72332
	"Jefferson Parish, LA"	"22051"	160	436523	0.36653
	"Jefferson Davis Parish, LA"	"22053"	20	31413	0.63668
	"Lafayette Parish, LA"	"22055"	124	241398	0.51367
	"Lafourche Parish, LA"	"22057"	28	98305	0.28483
	"Lincoln Parish, LA"	"22061"	29	47745	0.60739
	"Livingston Parish, LA"	"22063"	52	140138	0.37106
	"Morehouse Parish, LA"	"22067"	12	26071	Unreliable
	"Natchitoches Parish, LA"	"22069"	30	39162	0.76605
	"Orleans Parish, LA"	"22071"	128	391495	0.32695
	"Ouachita Parish, LA"	"22073"	116	156983	0.73893
	"Pointe Coupee Parish, LA"	"22077"	16	22159	Unreliable
	"Rapides Parish, LA"	"22079"	102	132424	0.77025
	"Sabine Parish, LA"	"22085"	17	23977	Unreliable
	"St. Bernard Parish, LA"	"22087"	11	45688	Unreliable
	"St. Charles Parish, LA"	"22089"	22	52923	0.41570
	"St. John the Baptist Parish, LA"	"22095"	18	43631	Unreliable
