,Location,FIPS,Life Expectancy,County name,"Total per enrollee (age, sex, race adjusted)","Total per enrollee (age, sex, race, price adjusted)"
780,"Vigo County, Indiana",18167,76.45,IN-Vigo County,"11,193 ","11,744 "
781,"Wabash County, Indiana",18169,77.87,IN-Wabash County,"9,375 ","10,186 "
782,"Warren County, Indiana",18171,78.58,IN-Warren County,"8,629 ","9,518 "
783,"Warrick County, Indiana",18173,79.27,IN-Warrick County,"9,815 ","10,883 "
784,"Washington County, Indiana",18175,75.89,IN-Washington County,"9,671 ","10,643 "
785,"Wayne County, Indiana",18177,76.54,IN-Wayne County,"10,198 ","10,832 "
786,"Wells County, Indiana",18179,79.52,IN-Wells County,"8,180 ","8,892 "
787,"White County, Indiana",18181,78.25,IN-White County,"9,241 ","9,670 "
788,"Whitley County, Indiana",18183,79.02,IN-Whitley County,"8,418 ","9,121 "
789,"Adair County, Iowa",19001,79.44,IA-Adair County,"8,254 ","8,353 "
790,"Adams County, Iowa",19003,78.96,IA-Adams County,"10,547 ","10,482 "
791,"Allamakee County, Iowa",19005,79.90,IA-Allamakee County,"7,649 ","7,834 "
792,"Appanoose County, Iowa",19007,78.33,IA-Appanoose County,"8,328 ","9,006 "
793,"Audubon County, Iowa",19009,80.54,IA-Audubon County,"8,934 ","9,444 "
794,"Benton County, Iowa",19011,81.15,IA-Benton County,"8,329 ","8,948 "
795,"Black Hawk County, Iowa",19013,79.42,IA-Black Hawk County,"8,867 ","9,588 "
796,"Boone County, Iowa",19015,78.98,IA-Boone County,"7,989 ","9,008 "
797,"Bremer County, Iowa",19017,82.14,IA-Bremer County,"9,564 ","9,766 "
798,"Buchanan County, Iowa",19019,79.24,IA-Buchanan County,"8,676 ","9,256 "
799,"Buena Vista County, Iowa",19021,80.88,IA-Buena Vista County,"7,634 ","7,847 "
800,"Butler County, Iowa",19023,80.23,IA-Butler County,"9,057 ","9,546 "
801,"Calhoun County, Iowa",19025,79.85,IA-Calhoun County,"9,252 ","9,813 "
802,"Carroll County, Iowa",19027,80.36,IA-Carroll County,"7,557 ","8,212 "
803,"Cass County, Iowa",19029,78.84,IA-Cass County,"8,400 ","8,935 "
804,"Cedar County, Iowa",19031,81.38,IA-Cedar County,"7,668 ","8,123 "
805,"Cerro Gordo County, Iowa",19033,79.23,IA-Cerro Gordo County,"8,486 ","9,136 "
806,"Cherokee County, Iowa",19035,80.13,IA-Cherokee County,"7,363 ","8,044 "
807,"Chickasaw County, Iowa",19037,80.71,IA-Chickasaw County,"8,615 ","8,687 "
808,"Clarke County, Iowa",19039,78.57,IA-Clarke County,"8,343 ","8,108 "
809,"Clay County, Iowa",19041,80.29,IA-Clay County,"7,528 ","8,152 "
