,FIPS,Location,Life Expectancy,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4
2059,51790,"Staunton City, Virginia",78.66,0.46,0.3556,0.5619,0.4734,0.5813
2060,51820,"Waynesboro City, Virginia",78.66,0.6215,0.4903,0.8666,0.6816,0.4358
2061,53005,"Benton County, Washington",79.96,0.525,0.2993,0.5379999999999999,0.8367,0.5731
2062,53007,"Chelan County, Washington",80.29,0.7202,0.4715,0.4024,0.8746,0.8914
2063,53009,"Clallam County, Washington",79.45,0.5820000000000001,0.4349,0.6151,0.5565,0.7329
2064,53013,"Columbia County, Washington",79.14,0.5673,0.4642,0.5931,0.5654,0.6431
2065,53019,"Ferry County, Washington",76.96,0.7838,0.7845,0.7281,0.6059,0.6259
2066,53027,"Grays Harbor County, Washington",76.61,0.8478,0.6555,0.7813,0.7179,0.9226
2067,53031,"Jefferson County, Washington",81.26,0.2127,0.2041,0.2436,0.4158,0.3289
2068,53039,"Klickitat County, Washington",79.83,0.5708,0.4887,0.6578,0.7354,0.4212
2069,53043,"Lincoln County, Washington",80.03,0.2286,0.2649,0.6772,0.2865,0.1461
2070,53047,"Okanogan County, Washington",78.24,0.9077,0.7596,0.9271,0.8828,0.7599
2071,53053,"Pierce County, Washington",78.72,0.5253,0.2983,0.3572,0.8169,0.723
2072,53055,"San Juan County, Washington",83.70,0.1092,0.0567,0.1032,0.5059,0.2448
2073,53057,"Skagit County, Washington",79.82,0.5826,0.3875,0.5294,0.8118,0.6472
2074,53061,"Snohomish County, Washington",80.15,0.2961,0.1394,0.107,0.8249,0.5384
2075,53063,"Spokane County, Washington",78.90,0.4903,0.3333,0.2983,0.5823,0.7854
2076,53071,"Walla Walla County, Washington",79.80,0.7358,0.4645,0.2569,0.8399,0.9764
2077,53073,"Whatcom County, Washington",80.98,0.4865,0.3884,0.055999999999999994,0.7259,0.8835
2078,54009,"Brooke County, West Virginia",77.11,0.2674,0.2697,0.3298,0.0379,0.7017
2079,54011,"Cabell County, West Virginia",75.12,0.6313,0.6065,0.4903,0.3486,0.8367
2080,54019,"Fayette County, West Virginia",74.30,0.7717,0.7975,0.8243,0.2254,0.8096
2081,54027,"Hampshire County, West Virginia",77.56,0.588,0.7536,0.595,0.0971,0.6422
2082,54055,"Mercer County, West Virginia",74.06,0.7631,0.7077,0.9191,0.4139,0.6695
2083,54061,"Monongalia County, West Virginia",79.15,0.3556,0.4037,0.0041,0.377,0.9908
2084,54065,"Morgan County, West Virginia",77.26,0.2789,0.6323,0.1684,0.1347,0.2117
2085,54067,"Nicholas County, West Virginia",75.36,0.446,0.6361,0.3855,0.0204,0.6387
2086,54069,"Ohio County, West Virginia",77.49,0.3738,0.2716,0.4164,0.1633,0.8434
2087,54071,"Pendleton County, West Virginia",79.34,0.3445,0.5654,0.4992,0.1051,0.2923
2088,54081,"Raleigh County, West Virginia",75.17,0.7749,0.6714,0.8185,0.5132,0.816
2089,54087,"Roane County, West Virginia",75.34,0.5508,0.9054,0.6527,0.0226,0.2894
2090,54105,"Wirt County, West Virginia",76.64,0.2805,0.5524,0.5447,0.0357,0.1818
2091,55001,"Adams County, Wisconsin",77.77,0.4852,0.5594,0.3986,0.4231,0.4585
2092,55007,"Bayfield County, Wisconsin",79.91,0.1191,0.2209,0.2273,0.284,0.1149
2093,55009,"Brown County, Wisconsin",80.59,0.3696,0.1882,0.27699999999999997,0.6985,0.6294
2094,55013,"Burnett County, Wisconsin",79.08,0.1977,0.3588,0.6358,0.2572,0.0474
2095,55019,"Clark County, Wisconsin",80.02,0.5762,0.5151,0.3674,0.4581,0.8278
2096,55025,"Dane County, Wisconsin",81.15,0.1974,0.079,0.0226,0.6905,0.7259
