County,County Code,Deaths,Population,Crude Rate
"Albany County, WY",56001,3502,668044,524.2
"Big Horn County, WY",56003,2582,219414,1176.8
"Campbell County, WY",56005,3955,799845,494.5
"Carbon County, WY",56007,2602,295079,881.8
"Converse County, WY",56009,1990,250853,793.3
"Crook County, WY",56011,1034,126439,817.8
"Fremont County, WY",56013,7391,730622,1011.6
"Goshen County, WY",56015,2575,245798,1047.6
"Hot Springs County, WY",56017,1269,90181,1407.2
"Johnson County, WY",56019,1575,152847,1030.4
"Laramie County, WY",56021,13779,1702302,809.4
"Lincoln County, WY",56023,2243,322358,695.8
"Natrona County, WY",56025,12091,1402439,862.1
"Niobrara County, WY",56027,533,45949,1160
"Park County, WY",56029,4805,522809,919.1
"Platte County, WY",56031,1807,165743,1090.2
"Sheridan County, WY",56033,5660,538280,1051.5
"Sublette County, WY",56035,954,162135,588.4
"Sweetwater County, WY",56037,5035,787827,639.1
"Teton County, WY",56039,1487,393580,377.8
"Uinta County, WY",56041,2452,385822,635.5
"Washakie County, WY",56043,1623,156424,1037.6
"Weston County, WY",56045,1290,131529,980.8
