,FIPS,Per_Capita_Income,Poverty,Disability,NoHighSchoolDiploma,LifeExpectancy
204,6037,27987.0,18.4,9.6,23.2,81.36
205,6039,17797.0,23.2,12.9,30.5,79.35
206,6041,58004.0,8.800000000000002,9.0,7.5,83.8
207,6043,28327.0,16.3,18.0,11.0,80.1
208,6045,23712.0,20.2,16.6,14.1,78.54
209,6047,18464.0,25.6,15.7,32.0,78.92
210,6049,21830.0,21.0,19.1,13.4,77.5
211,6051,29578.0,5.0,9.2,15.7,82.96
212,6053,25048.0,17.2,8.6,28.8,81.85
213,6055,35092.0,10.3,11.2,17.2,80.49
214,6057,32117.0,12.4,14.0,5.7,81.3
215,6059,34416.0,12.8,8.1,16.0,82.27
216,6061,35711.0,8.9,10.8,6.0,81.46
217,6063,29167.0,15.9,21.4,10.2,78.33
218,6065,23660.0,16.9,10.8,20.2,80.21
219,6067,27071.0,18.1,12.9,13.8,79.12
220,6069,26317.0,12.1,8.800000000000002,22.1,81.77
221,6071,21384.0,19.2,10.9,21.7,78.65
222,6073,31043.0,14.7,9.5,14.2,81.43
223,6075,49986.0,13.3,10.5,13.3,81.97
224,6077,22642.0,19.4,11.7,22.4,78.1
225,6079,30392.0,14.8,11.0,10.4,81.37
226,6081,47198.0,7.6,8.0,11.5,83.11
227,6083,30526.0,16.6,10.0,20.7,81.65
228,6085,42666.0,9.9,7.7,13.2,83.14
229,6087,33050.0,15.3,8.9,14.5,81.37
230,6089,23763.0,18.0,18.2,11.3,76.68
231,6091,28030.0,16.3,15.9,9.9,79.01
232,6093,22482.0,22.7,19.8,11.2,77.66
233,6095,29132.0,13.1,11.1,12.5,79.65
234,6097,33361.0,12.3,11.2,13.2,81.09
235,6099,21729.0,20.3,13.3,22.8,78.25
236,6101,23828.0,16.8,13.7,21.6,78.99
237,6103,21002.0,18.6,18.9,17.9,77.74
238,6105,23145.0,18.7,22.9,9.3,77.28
239,6107,17888.0,27.4,11.0,32.0,78.3
240,6109,26063.0,14.7,18.2,10.4,79.28
241,6111,33308.0,11.1,10.1,17.0,81.71
242,6113,28080.0,20.0,10.4,15.0,80.55
243,6115,19586.0,22.2,17.0,20.4,76.12
244,8001,24667.0,14.1,10.4,18.2,80.02
245,8003,19481.0,27.9,15.8,15.4,77.43
246,8005,33574.0,11.7,9.1,8.2,80.02
247,8007,28506.0,11.1,14.1,7.7,82.08
248,8009,22558.0,16.3,22.9,14.5,77.95
249,8011,15402.0,18.4,23.3,21.6,76.78
250,8013,38524.0,14.6,8.1,6.0,80.02
251,8014,38706.0,6.3,8.4,5.2,80.02
252,8015,27467.0,8.7,14.6,9.5,81.22
253,8017,23415.0,8.7,15.2,11.8,79.56
254,8019,42446.0,9.3,10.8,4.0,81.63
